구분		사용프로그램		등급		설명
C언어		vs2022			초		기초 문법 및 데이터 타입, 조건문, 반복문 등 기본 구조를 이해
java		eclipse			초~중		Java의 기본 문법(조건문, 반복문, 클래스, 객체 지향 등)을 이해하고 활용 가능, 현재 웹 개발 프로젝트 수업 진행 중으로 실무적인 개발 환경에 대한 경험 확대, 코드 구조와 역할을 이해하며, 디버깅 및 문제 해결 능력 향상 중
DB		Mysql, MariaDB, DBeaver	초~중		mysql을 활용하여 데이터베이스 생성 및 관리 경험 보유, java와 연동하여 게시판 데이터를 처리하는 프로그램 구현 경험, sql 쿼리를 작성해 데이터 삽입, 조회, 수정, 삭제 작업 수행, MariaDB와 DBeaver를 활용한 데이터베이스 설계 및 관리 경험, 공공기관 데이터를 활용하여 데이터 수집, 가공, 분석 등 다양한 실습 수행, SQL 쿼리를 통해 데이터 처리(삽입, 조회, 수정, 삭제) 및 복잡한 조건문 작성 가능
html		vs			초		시맨틱 태그와 기본 속성을 활용한 간단한 웹 페이지 제작 경험
css		vs			초		스타일링을 통해 레이아웃 및 디자인 구현 가능, Fildbox와 Grid를 활용한 반응형 웹 레이아웃 제작 경험
bootstrap		vs			초		Bootstrap을 활용한 UI 컴포넌트 및 레이아웃 구현
javascript		vs			초		DOM 조작 및 이벤트 처리 구현 가능, 기본적인 함수와 비동기 처리에 대한 이해
servlet		vs			초		HTTP 요청 / 응답 처리 및 간단한 웹 애플리케이션 구현 경험
node.js		node.js(v22)		초		간단한 서버 구성 및 RESTful API 설계 학습 
vue.js		vs			초		Vue 컴포넌트 기반 설계 및 데이터 바인딩 구현 경험, 간단한 SPA 제작 학습
spring		eclipse			초		Spring Framework를 활용한 간단한 웹 애플리케이션 제작 경험
